Company,Location,Sector,About,Amount,Stage,Funding Year
MyGlamm,Mumbai,Fashion,Buy Makeup kit & Cosmetics Products from international makeup brand,12127.35,Mid Stage,2020
Aviom,New Delhi,Finance,A social impact focused housing finance company catering to housing needs of customers in semi urban areas,8270.85,Other Stages,2020
Flinto,Chennai,EdTech Startup,Flintobox is an India-based company that produces educational activity boxes for children,84891.44,Other Stages,2020
WayCool,Chennai,Agritech startup,WayCool is a social enterprise positively impacting the lives of India's farmers,61364.38,Mid Stage,2020
YAP,Chennai,API platform,Create your own stream of Neo-banking and Deposit products using our bank-grade APIs,49115.76,Mid Stage,2020
Big Bang Boom Solutions,Chennai,Deep Tech,It aims to co-create intellectual property that can reside within the borders of the country.,12733.72,Mid Stage,2020
GUVI,Chennai,EdTech Startup,Operates vernacular-language based education tech startup,9701.88,Mid Stage,2020
BluSmart,Gurugram,Electricity,"BluSmart, an all-electric ride-hailing platform",84891.44,Other Stages,2020
Cell Propulsion,Bengaluru,Automotive company,Designs and develops electric power drives and autonomous electric mobility solutions,36382.05,Other Stages,2020
MPL,Bengaluru,Entertainment,Mobile Premier League (also known as MPL) is the mobile e-Sports platform,606367.42,Mid Stage,2020
Spoonshot,Bengaluru,FMCG,A food science company using AI to predict consumer taste and food trends,12127.35,Early Stage,2020
Pulse,Mumbai,FinTech,Helps people navigate through and profit off financial markets,9095.51,Other Stages,2020
Groww,Bengaluru,FinTech,Leading Investment and Trading Platform,363820.45,Mid Stage,2020
i3 Systems,Mumbai,Insurance Tech,Transforming India's health insurance industry with its digital solutions and AI products for automation,12733.72,Other Stages,2020
SOAL,Mumbai,EdTech,"A skill-tank nurturing students into disruptive, tech-empowered creators and future leaders",12127.35,Mid Stage,2020
OckyPocky,Gurugram,EdTech,Ockypocky helps kids in learning spoken english,4850.94,Early Stage,2020
Hippo Video,New York,Video personalization,Helps enterprise businesses achieve their marketing and sales goals through seamless video,48509.39,Mid Stage,2020
Hasura,San Francisco,Software Company,"Builds developer tooling products, including open source tools, backend",303183.71,Mid Stage,2020
Qapita,Singapore,FinTech,Qapita provides digital equity management tools for private companies and startups.,13097.54,Early Stage,2020
Sunday,Bangkok,FinTech,An end-to-end insurance products and services provider that uses AI to offer personalized packages.,109146.14,Other Stages,2020
Gamezop,Gurugram,Gaming,A multi-game platform,52147.6,Mid Stage,2020
Phool.co,Kanpur,Biomaterial startup,They use flowers from temples across India's and create useful products such as rose incense cone,16978.29,Other Stages,2020
Chiratae Ventures,Bengaluru,Venture capital,A leading tech venture capital fund focused on enabling entrepreneurs in India.,36382.05,Early Stage,2020
MedLife,Bengaluru,Health,"An India online platform, which provides pharmacy, diagnostics, and e-consultation in India.",82465.97,Early Stage,2020
IDfy,Mumbai,IT,IDfy provides risk and fraud solutions,25588.71,Mid Stage,2020
True Balance,Gurugram,Finance,Earn money by meeting financial needs of your friends and neighbors.,36382.05,Mid Stage,2020
Bira91,New Delhi,Craft Beer,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,9265.29,Early Stage,2020
Max wholesale,New Delhi,E-commerce,MaxWholesale is an online distributor that provides authentic FMCG goods,7312.79,Mid Stage,2020
Craftsvilla,Mumbai,E-commerce,"Sells ethnic apparel, footwear, fashion accessories, beauty products, handcrafted home accessories",4960.09,Early Stage,2020
MechMocha,Bengaluru,Entertainment,India's first vernacular social gaming platform,3541.19,Mid Stage,2020
Mindhouse,Gurugram,Healthtech,A gym to train your mind offering workouts and programmes,3468.42,Early Stage,2020
DeepSync,Chandigarh,AI startup,"A revolutionary way to record your content, without you really speaking",1649.32,Mid Stage,2020
Eruditus,Mumbai,Education,Bring world-class business and professional education to a global audience,36382.05,Other Stages,2020
Gradeup,Noida,Education,"India's largest exam preparation destination,",6621.53,Early Stage,2020
Tracxn,Bengaluru,Investment,Tracxn is the research partner for Venture Capitalist,10756.96,Mid Stage,2020
Purple Style Labs,Mumbai,Fashion,Shopping experience and foster the growth of Indian brands and designers.,521.48,Other Stages,2020
ProPhysio,Bengaluru,Health,The largest provider of physiotherapy and rehabilitation services,496.01,Mid Stage,2020
Flickstree,Mumbai,Tech,World's largest video publisher,496.01,Mid Stage,2020
Settl,Gurugram,TravelTech,Get affordable AC bus-rides everyday,36382.05,Other Stages,2020
Fanspole,Thane,Entertainment,India's only social fantasy gaming platform,36382.05,Other Stages,2020
Sarva,Mumbai,Healthcare,A wellness ecosystem built on the authentic foundations of Yoga,36382.05,Early Stage,2020
Univ.ai,Bengaluru,EdTech,"A distributed, global educational powerhouse that draws on technology",36382.05,Early Stage,2020
PurohitJi,Bengaluru,Linguistic Spiritual,App for Hindu Puja Products & Services,36382.05,Mid Stage,2020
CredoLab,Singapore,Tech,AI credit scoring platform,84891.44,Mid Stage,2020
Brick&Bolt,Bengaluru,Construction and Real Estate,"A construction company doing house construction, building construction, commercial construction",26680.17,Mid Stage,2020
Grinntech,Chennai,Battery manufacturer,Leading on all fronts of battery design,24254.7,Other Stages,2020
6Degree,Mumbai,Fashion,India's leading fashion business platform,4123.3,Other Stages,2020
Exprs,Madhapur,Nano Distribution Network,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.",68640.79,Early Stage,2020
Bikayi,Hyderabad,E-commerce,Provides free whatsapp integrated E-Commerce Store,24254.7,Early Stage,2020
Virtual Forest,Bengaluru,Tech,Tracking seasonal change in virtual forest,36382.05,Early Stage,2020
The Health company,Gurugram,AI health,Organic superfoods & free personal health coaching that actually work.,4244.57,Other Stages,2020
TrulyMadly Matchmakers,Gurugram,Dating app,One of the best dating Apps in India connecting singles across the country.,1334.01,Other Stages,2020
TrueFan,Mumbai,Media,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,52147.6,Early Stage,2020
Fanspole,Mumbai,Gaming,A free app that users can use to create contests and play,36382.05,Other Stages,2020
Byju's,Bengaluru,EdTech,Provides online learning classes,1479536.51,Early Stage,2020
Avail Finance,Bengaluru,Fintech,Instant online loan app,141101.7,Mid Stage,2020
The Money Club,New Delhi,AI,AI based chit fund cashier app,36382.05,Other Stages,2020
Virohan,Gurugram,Healthcare/Edtech,Healthcare training company,33956.58,Early Stage,2020
OneCode,Gurugram,Social Commerce,Connects new-age digital first brands with relevant sellers,36382.05,Early Stage,2020
Verloop.io,Bengaluru,AI,Helps automate customer service using Artificial Intelligence,60636.74,Early Stage,2020
Otipy,Gurugram,Agritech/Commerce,Connects consumers with farmers thorugh women resellers,12127.35,Other Stages,2020
Evage,Chandigarh,Mobility tech,Develop emissions-free electric commercial vehicles,36382.05,Mid Stage,2020
LEAD School,Mumbai,EdTech,Offers an integrated system for schools by helping them digitize the entire curriculum,339565.76,Mid Stage,2020
Trell,Bengaluru,Social e-commerce,Allows users to share their travel experiences,133400.83,Mid Stage,2020
Captain Fresh,Bengaluru,Food & Logistics,Sea food Supply chain,27892.9,Other Stages,2020
Teachmint,Bengaluru,EdTech,Empowers tutors with tools to deliver effective learning outcomes for students and parents,36382.05,Early Stage,2020
Pixxel,Bengaluru,SpaceTech,Indian Earth observation startup,60636.74,Early Stage,2020
Habbit Health,New Delhi,Nutrition Tech,Applies modern science for healthier life through proprietary foods & digital ecosystem,36382.05,Other Stages,2020
SmarterBiz,Bengaluru,Tech,An end-to-end CX platform enabled with the gig workforce,12915.63,Other Stages,2020
Able Jobs,Bengaluru,HR,Provides end to end hiring support to companies,24254.7,Mid Stage,2020
Vieroots,Kochi,Healthtech,Personalised lifestyle management using epigenetic science,36382.05,Other Stages,2020
Stack Finance,Bengaluru,Fintech,"It automates invesments, expenses, borrowing under a single platform",36382.05,Early Stage,2020
FPL Technologies,Pune,Fintech,OneScore app is built by FPL - Free credit scoring and monitoring,121273.48,Mid Stage,2020
Masai School,Bengaluru,EdTech,It trains tech aspirants in full stack wed and android development,30318.37,Mid Stage,2020
Mitron,Bengaluru,Media,Short Video and Social Platform,60636.74,Mid Stage,2020
Daalchini,New Delhi,IoT,Physical and Digital vending machines startup,8113.2,Other Stages,2020
Suno India,Hyderabad,Media,Multilingual podcast platform,36382.05,Other Stages,2020
LendingKart,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,194959.25,Late Stage,2020
Text Mercato,Bengaluru,E-commerce Technology,Cataloguing startup that serves ecommerce platforms,7877.93,Mid Stage,2020
Eden Smart Homes,New Delhi,IoT,Develops smart home automation systems,36382.05,Mid Stage,2020
GrayQuest,Mumbai,EdTech,Enables parents to pay their annual education fees in up to 12 monthly installments,12127.35,Other Stages,2020
BigHaat,Bengaluru,Agritech,Agri-inputs ecommerce player,24254.7,Other Stages,2020
CityCash,Mumbai,Fintech,Focusses on creating a transit led micro-payments ecosystem,12127.35,Early Stage,2020
HomeLane,Chennai,Interior design,Provides interior designing solutions,12127.35,Late Stage,2020
HungerBox,Bengaluru,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",81253.23,Mid Stage,2020
DaveAI,Bengaluru,AI,Sales augmentation platform with a vision to democratise AI for enterprises,36382.05,Early Stage,2020
Eduvanz,Mumbai,Fintech,Digital finance NBFC that provides affordable education loans,60636.74,Mid Stage,2020
ZipLoan,New Delhi,Fintech,Provides loans to MSMEs,24254.7,Early Stage,2020
DocSumo,Mumbai,AI,Platform helps to automate and analyse financial data,2668.02,Early Stage,2020
CUSMAT,Warangal,AR/VR,It builds high immersion training systems for enterprises,36382.05,Early Stage,2020
Chingari,Bengaluru,Media,Short video platform,15765.55,Early Stage,2020
Bolo Indya,Gurugram,Media,User-generated content platform,3638.2,Other Stages,2020
Data Sutram,Kolkata,AI,Platform gathers intel from external data to provide location-based data intelligence.,3231.94,Early Stage,2020
Wobot Intelligence,New Delhi,AI,AI backed video analytics platform,30318.37,Other Stages,2020
DrinkPrime,Bengaluru,Water Technology,Subscription-based Water purifier startup,34914.64,Other Stages,2020
Infeedo,Gurugram,HR tech,An employee engagement HR analytics platform,8489.14,Mid Stage,2020
Probus Smart Things,New Delhi,IoT,Platform for monitoring distribution sub-station performance and operations,36382.05,Early Stage,2020
CrowdPouch,Bengaluru,Tech,A reward-based fundraising and preselling platform,36382.05,Other Stages,2020
Rebel Foods,Mumbai,Food tech,Cloud kitchen platform,321374.73,Late Stage,2020
Hevo,Bengaluru,Tech,Data pipeline startup,97018.79,Mid Stage,2020
BigSpoon Foods,Ahmedabad,Foodtech,Cloud kitchen startup,24254.7,Other Stages,2020
Chingari,Bengaluru,Media,Homegrown short video platform,12127.35,Early Stage,2020
ShareChat,Bengaluru,Media,Indian social network platform,4256.7,Early Stage,2020
DatStop,New Delhi,Hospitality,It offers urban social space,36382.05,Mid Stage,2020
IPHM Services,Mumbai,Mental Health,It helps design programs and workshops for the psychological well-being of individuals,36382.05,Early Stage,2020
Wellcure,Gurugram,Healthtech,It caters to all health and wellness needs,2425.47,Mid Stage,2020
VilCart,Bengaluru,Ecommerce,"Retail industry in rural India through technology, supply chain, and logistics facilities.",36382.05,Other Stages,2020
Firescore,Mumbai,Gaming,Game development studio,6063.67,Late Stage,2020
BulBul,Gurugram,Social commerce,A video and livestream led commerce platform that makes online shopping engaging,36382.05,Late Stage,2020
Toppr,Mumbai,Edtech,It provides AI-based after school learning app for K12,567086.94,Late Stage,2020
Pickright Technologies,Bengaluru,Fintech,Marketplace for stock market investors and advisors,2122.29,Early Stage,2020
Muse Wearables,Chennai,Tech,It sells the world’s first payment-enabled hybrid smartwatches,36382.05,Other Stages,2020
SATYA Microcapital,New Delhi,Fintech,Microfinance company that offers collateral-free credit to micro enterprises,36382.05,Other Stages,2020
WYN Studio,Gurugram,Media,It creates video content and podcasts,36382.05,Early Stage,2020
Fourth Partner Energy,Bengaluru,Solar Solution,Largest startup in the distributed solar sector,181910.23,Other Stages,2020
Entri,Kochi,Edtech,Local language learning startup,20616.49,Other Stages,2020
Snack Amor,Mumbai,Foodtech,Healthy snack startup,36382.05,Early Stage,2020
MPowered,Gurugram,SaaS,Asset Management Solutions,254674.32,Other Stages,2020
Leap Club,Gurugram,Professional Networking,Community led professional network for women,36382.05,Late Stage,2020
Ather Energy,Bengaluru,Automobile,Electric scooter manufacturer,136323.52,Mid Stage,2020
Gigforce,Bengaluru,HR tech,Provides staffing solutions for businesses,9750.39,Mid Stage,2020
Vegrow,Bengaluru,Agritech,It is building an asset-light farm by partnering with small farms on a profit-sharing model,30318.37,Early Stage,2020
Finn,Bengaluru,Fintech,Neobanking startup that digitises all banking transactions,36382.05,Other Stages,2020
Bijnis,New Delhi,B2B marketplace,Provides a platform for manufacturers and retailers in digital transaction,121273.48,Mid Stage,2020
iNurture,Bengaluru,Edtech,"It provides a conducive and healthy teaching, learning environment",16250.65,Early Stage,2020
StyleDotMe,Gurugram,Fashion Tech,"mirrAR, helps jewellers sell jewellery with no physical inventory",5663.47,Other Stages,2020
Ripsey,Mumbai,Nutrition tech,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,1612.94,Other Stages,2020
ThriveFNC,Pune,Health & Wellness,Focusses on reversing chronic lifestyle disorders through functional nutrition.,36382.05,Early Stage,2020
Vedantu,Bengaluru,Edtech,Onine learning platform,1212734.84,Late Stage,2020
Magicpin,Gurugram,Hyperlocal Services,"It is a local discovery, rewards, and commerce platform",84891.44,Late Stage,2020
Procol,New Delhi,Agritech,Commodity procurement platform,46362.85,Mid Stage,2020
Yumlane,Mumbai,Cloud Kitchen,Online retailer that offers a range of on-the-go hot snacking and meals,12127.35,Other Stages,2020
Crio,Bengaluru,Edtech,A learning platform for developers,11326.94,Early Stage,2020
Openapp,Bengaluru,IoT,Security solutions startup,6063.67,Early Stage,2020
PumPumPum,Gurugram,IoT/Automobile,Offers leased car services,3553.31,Other Stages,2020
uFony Services Pvt ltd,Pune,Edtech,"School Diary, a platform that brings education to smartphones",36382.05,Early Stage,2020
Protinus Fashion Networking Pvt Ltd,Mumbai,Fashion,Owns and operates fashion commerce and retail management platform 6Degree,36382.05,Other Stages,2020
Uable,Bengaluru,Edtech,Online life skills development platform for children,36382.05,Early Stage,2020
ParkSmart,New Delhi,IoT,Parking spot reservation platform,2401.21,Early Stage,2020
Plum,Bengaluru,Healthtech,Provides health benefits to corporates,11242.05,Early Stage,2020
IncNut Digital,Hyderabad,Ecommerce,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,48509.39,Mid Stage,2020
GigIndia,Pune,Tech,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,11775.66,Other Stages,2020
Specsmaker,Chennai,Eye Wear,Online optical chain for eye wears,37109.69,Mid Stage,2020
Piggy Ride,Bengaluru,SaaS,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities",22581.12,Other Stages,2020
Chai Waale,Chennai,Beverage,Tea Brand,2813.54,Mid Stage,2020
NOTO,Mumbai,Food,A brand that makes healthy icecream,36382.05,Other Stages,2020
Cuemath,Bengaluru,Edtech,It helps students to learn math online,35023.78,Mid Stage,2020
Cars24,Gurugram,Automobile,Online platform for selling used cars,16105.12,Mid Stage,2020
JetSynthesys,Pune,Digital tech,Digital entertainment and technology company,485093.94,Mid Stage,2020
Earth Energy EV,Mumbai,Automobile,Electric vehicles startup,36382.05,Early Stage,2020
Green Cure,New Delhi,Health & Wellness,It sells herbal OTC products,36382.05,Early Stage,2020
Blue Sky Analytics,Gurugram,Data Intelligence,"It is building AI-powered infrastructure to analyse air quality, pollution etc",14552.82,Early Stage,2020
Edhusk,Jaipur,Edtech,Provieds personalised learning to students by leveraging technology-driven models,36382.05,Mid Stage,2020
Decentro,Bengaluru,Fintech,Automated API-based platform that enables financial integrations.,187973.9,Mid Stage,2020
Zolostays,Bengaluru,Co-living,It offers affordable housing apartments to young professionals and students,679131.51,Mid Stage,2020
Frontier Markets,Jaipur,Ecommerce,Women entreprenuers sells products and services to rural India,27286.53,Other Stages,2020
Brainwired,Kerala,Agritech,India’s first livestock health monitoring company,36382.05,Mid Stage,2020
Aye Finance,Gurugram,Fintech,A finance lender to SMEs,203169.47,Late Stage,2020
Paper Boat,Gurugram,Food & Beverages,Ecommerce platform for beverages and snacks,44871.19,Mid Stage,2020
Ken42,Bengaluru,Edtech,A platform that caters to evolving needs of institutions,17827.2,Mid Stage,2020
Forbidden Foods,New Delhi,Food,Packaged snacks company,12127.35,Early Stage,2020
Universal Sportsbiz,Bengaluru,Fashion,Indian fashion industry with on-trend products,6427.49,Other Stages,2020
Gobbly,Gurugram,Retail Tech,A contactless retail store filled with fruits and veggies,6063.67,Early Stage,2020
Aerostrovilos,Chennai,Automotive,Manufactures micro gas turbines for power-based application,36382.05,Early Stage,2020
Mitron,Bengaluru,Media,Short Video and Social Platform,3238.0,Early Stage,2020
Bulk MRO,Mumbai,B2B,A full stack B2B platform for industrial supplies,40553.85,Late Stage,2020
Inspektlabs,New Delhi,AI,Focuses on building computer vision products for physical asset inspections,7276.41,Other Stages,2020
Big Bang Boom Solutions,Chennai,Defense tech,It developed integrated intellectual properties for defense,12127.35,Mid Stage,2020
Flinto,Chennai,Edtech,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,87316.91,Other Stages,2020
Zetwerk,Bengaluru,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,254674.32,Mid Stage,2020
ChitMonks,Hyderabad,Fintech,Offers enterprise private platform for chit fund firms,7882.78,Other Stages,2020
Walrus,Bengaluru,Fintech,It provides banking solutions for teens and young adults,36382.05,Other Stages,2020
Arth Designbuild,Hyderebad,Construction tech,Construction technology and solutions provider,13340.08,Mid Stage,2020
goDutch,Mumbai,Fintech,Group Payments platform,20616.49,Early Stage,2020
Rusk Media,New Delhi,Digital Media,It creates video content,36382.05,Early Stage,2020
Bold Care,Mumbai,Health & Wellness,Digital platform that offers sexologist consultations for  men,36382.05,Other Stages,2020
Samosa Party,Bengaluru,Food,Provides quality Indian Snacks,36382.05,Other Stages,2020
High Street Essentials,New Delhi,Ecommerce,The parent company of women's fashion brands FabAlley and Indya,33265.32,Other Stages,2020
Byju's,Bengaluru,Edtech,Provides online learning classes,36382.05,Mid Stage,2020
Slice,Bengaluru,Fintech,A financial platform for youngsters,73758.53,Other Stages,2020
Bombay Play,Bengaluru,Gaming,It designs and creates online multiplayer games,18191.02,Other Stages,2020
Fullife,Mumbai,Healthtech,It sells sports nutrition supplements through a brand called Fast&Up,80149.65,Early Stage,2020
Oziva,Mumbai,Nutrition,Clean Label Active Nutrition Brand,60636.74,Mid Stage,2020
Aye Finance,Gurugram,Fintech,A finance lender to SMEs,335927.55,Late Stage,2020
Aether Biomedical,New Delhi,Medtech,"Medical robotics startup, focussed on developing rehabilitation devices",36382.05,Early Stage,2020
91springboard,New Delhi,Coworking,It offers collaborative workspace with varied amenities,72036.45,Mid Stage,2020
Yulu,Bengaluru,Micro-mobiity,The electric and scooter rental startup,48072.81,Other Stages,2020
Milkbasket,Gurugram,Logistics,Hyperlocal delivery service startup,66700.42,Mid Stage,2020
MergerDomo,Noida,Marketplace,Global online corporate deal sourcing and consulting marketplace,2389.09,Late Stage,2020
GoMechanic,New Delhi,Auto-tech,Find automobile repair and maintenance service providers,36382.05,Mid Stage,2020
Milk Mantra,Odisha,Food,Produces Dairy Products,121273.48,Early Stage,2020
Myglamm,Mumbai,Beauty,On-demand beauty services provider,52475.04,Early Stage,2020
Drishti Technologies,Bengaluru,AI,"AI-based video analytics, data, and insights bring benefits to manufacturers",303183.71,Mid Stage,2020
Instasolv,Noida,Edtech,It is a doubt-solving app for students from Class 6 to 12,24254.7,Other Stages,2020
GoldenPi,Bengaluru,Fintech,An online aggregator of bonds and debentures available in the secondary market,5566.45,Other Stages,2020
Peppermint,Mumbai,Robotics,Industrial robotics startup,36382.05,Early Stage,2020
Sarva,Mumbai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,36382.05,Early Stage,2020
Jai Kisan,Mumbai,Fintech,A platform that caters the need of customers in rural areas,47745.37,Other Stages,2020
Agro2o,New Delhi,Agritech,It develops products focused on making hydroponics-based farming,36382.05,Late Stage,2020
LetsTransport,Bengaluru,Logitech,Offers techno logistics solutions,15929.27,Other Stages,2020
GabbarDeals,Pune,Ecommerce,Online-to-Offline platforms for mobile phones & accessories,36382.05,Other Stages,2020
Crimson Healthcare,New Delhi,Med Tech,It innovates cutting edge solutions for various problems in the healthcare system,2786.86,Mid Stage,2020
Biomoneta,Bengaluru,Life sciences,It develops germicidal technologies,36382.05,Early Stage,2020
Edvizo,Bengaluru,Edtech,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",1819.1,Early Stage,2020
Servify,Mumbai,Technology Services,Operates device management and support platform,137887.95,Mid Stage,2020
Drum Food,Mumbai,Food,It runs yoghurt brand Epigamia,64335.58,Early Stage,2020
Innoviti,Bengaluru,Fintech,Digital payments solutions company,36382.05,Mid Stage,2020
Jiffy ai,Bengaluru,AI,Enterprise automation startup,218292.27,Mid Stage,2020
Postman,Bengaluru,Tech,API development platform startup,1819102.26,Mid Stage,2020
F5,Bengaluru,Retail Aggregator,It provides opportunities for its partner vendors to upsell and cross-sell their products.,36382.05,Other Stages,2020
Waycool,Chennai,Agritech,Food development and distribution services,66700.42,Mid Stage,2020
Myelin Foundry,Bengaluru,Deep Tech AI,"It builds AI based algorithms on video, voice and sensor",36382.05,Early Stage,2020
Ameliorate Biotech,Bengaluru,Biotech,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.",3201.62,Other Stages,2020
Hapramp,Gurugram,Blockchain,Startup working on technologies like blockchain and social media,12127.35,Mid Stage,2020
MyKaam,Bengaluru,HrTech,Online job searching and recruiting platform,36382.05,Mid Stage,2020
HealthPlix,Bengaluru,Healthtech,It provides clinical software for doctors,72764.09,Mid Stage,2020
YoloBus,Gurugram,Mobility/Transport,Intercity bus service startup,40020.25,Mid Stage,2020
iNurture Education,Bengaluru,Edtech,"It provides a conducive and healthy teaching, learning environment",48509.39,Other Stages,2020
Pocket52,Bengaluru,Gaming,An online poker playing platform,21222.86,Mid Stage,2020
QuaQua,Hyderabad,Travel,Virtual travel guide platform,12127.35,Other Stages,2020
Crofarm,New Delhi,Agritech,Supply chain that supports farmers and provides businesses with freshest produce,12127.35,Mid Stage,2020
Timios,Bengaluru,Foodtech,Provides healthy snacks for kids,36382.05,Other Stages,2020
Wooden Street,Jaipur,Ecommerce,It enables to order custom furniture online,36382.05,Mid Stage,2020
BankBazaar,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,72363.89,Late Stage,2020
Rentmojo,Bengaluru,Rental,"Rental platform for furniture, appliances & electronics",36139.5,Mid Stage,2020
Credgencies,Gurugram,AI & Debt,Tech-enabled platform for resolution of non-performing assets,36382.05,Early Stage,2020
Knorish,New Delhi,SaaS/Edtech,All-in-one knowledge commerce SaaS platform,3917.13,Other Stages,2020
LetsTransport,Bengaluru,Logitech,Offers techno logistics solutions,16080.86,Early Stage,2020
Vahak,Bengaluru,Transport,It enables logistic companies to conncet with transporters,36382.05,Early Stage,2020
Nutrova,Mumbai,Nutrition,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",36382.05,Other Stages,2020
Cube Wealth,Mumbai,SaaS,A digital wealth management services,6063.67,Other Stages,2020
IVF Access,Bengaluru,Healthtech,It provdes IVF treatments,60636.74,Mid Stage,2020
Hoi Foods,New Delhi,Foodtech,Quality food solution,24254.7,Other Stages,2020
Ola Financial Services,Bengaluru,Fintech,It operates Ola Money,327438.41,Mid Stage,2020
Awifs,New Delhi,Co-working,Provides office space solutions,63062.21,Other Stages,2020
Dunzo,Bengaluru,Logistics,India-based hyperlocal delivery startup,667004.16,Mid Stage,2020
Swiflearn,Gurugram,Edtech,Learning platform for K-10 students looking for personalised learning,36382.05,Early Stage,2020
Remedo,New Delhi,Healthtech,The platform connects doctors with patients,36382.05,Other Stages,2020
Blowhorn,Bengaluru,Logistics,Tech platform that connects logistics service seekers with mini-truck drivers,36382.05,Mid Stage,2020
Toch,Mumbai,AI,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos",12127.35,Other Stages,2020
Gram Cover,Noida,Insurtech,It provides insurance products in rural areas,36382.05,Other Stages,2020
Coin DCX,Mumbai,Cryptocurrency,Hybrid crypto exchange platform,30318.37,Other Stages,2020
HomeCapital,Mumbai,Fintech,Home Down Payment Assistance Program,36382.05,Early Stage,2020
Euler Motors,New Delhi,Automotive tech,Startup focusses on electric vehicles,30682.19,Mid Stage,2020
Riskcovry,Mumbai,Insurtech,Offers various insurance products,36382.05,Other Stages,2020
NWNT (No Worry No Tension Healthcare),New Delhi,Healthtech,Mental healthtech startup,36382.05,Other Stages,2020
Voicezen,Gurugram,AI,Conversational AI startup,36382.05,Other Stages,2020
Leap Club,Gurugram,Professional Networking,Community led professional network for women,4123.3,Other Stages,2020
Credit Mantri,Chennai,Fintech,Offers free credit score and a detailed credit analysis report,9604.86,Mid Stage,2020
Xtracap,Gurugram,Fintech,"Offers online payment solution,schemes, order management, insurance etc.,",12127.35,Other Stages,2020
Tring,Mumbai,Media,Celebrity engagement platform,36382.05,Mid Stage,2020
Vakilsearch,Chennai,Legal,"Online platform for legal, tax and compliance services",36382.05,Other Stages,2020
Khatabook,Bengaluru,Fintech,It helps SMEs to maintain their accounts and ledger online.,727640.9,Mid Stage,2020
LendingKart,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,137803.06,Late Stage,2020
Illumnus,Gurugram,Edtech,Offers Collaborative learning management system for educational institutions,1212.73,Early Stage,2020
LetsTransport,Bengaluru,Logitech,Offers techno logistics solutions,20798.4,Early Stage,2020
Eggoz,Bihar,Agritech,"Provides technology backed, deep integration services to egg farmers",3989.9,Early Stage,2020
Winuall,Bengaluru,Edtech,It helps coaching institutes in digitization,36382.05,Other Stages,2020
Indian School Finance Company,Hyderabad,Fintech,NBFC that provides funding to education system,63923.25,Early Stage,2020
Juicy Chemistry,Coimbatore,Organic Skincare,It focuses on organic based skincare products,7882.78,Mid Stage,2020
DeepTek,Pune,Healthtech,AI enabled radiology platform,36382.05,Early Stage,2020
Stepathlon Lifestyle,Mumbai,Fitness,It organises corporate wellness programs,36382.05,Mid Stage,2020
Sindhuja Microcredit,Noida,Fintech,It provides financial services to self employed women entrepreneurs,105507.93,Mid Stage,2020
Rentmojo,Bengaluru,Rental,"Rental platform for furniture, appliances & electronics",39122.83,Early Stage,2020
Tesco Charge Zone,Gujarat,EV,Operates electric vehicle charging zone,36382.05,Early Stage,2020
Intello Labs,Gurugram,"Supply chain, Agritech",Standardisation and Quality control of fruits & vegetables,71551.36,Mid Stage,2020
SirionLabs,Gurugram,SaaS,"Provides procurement, outsourcing services & contract management software",533603.33,Mid Stage,2020
Magicpin,Gurugram,Hyperlocal Services,"It is a local discovery, rewards, and commerce platform",47041.98,Early Stage,2020
GroCurv,Gurugram,B2B,"It offers a wide range of business related services like Branding, marketing, sales etc.,",36382.05,Early Stage,2020
Refrens,Bengaluru,SaaS,"Offers a free invoicing, payments and expense management system",12127.35,Early Stage,2020
Shiprocket,New Delhi,Logitech,Tech enabled logistics aggregator,157655.53,Mid Stage,2020
Spyne,Gurugram,AI,Helps online businesses with visual content,36382.05,Other Stages,2020
Nykaa,Mumbai,Ecommerce,Deals in cosmetic and wellness products,106720.67,Early Stage,2020
Docsapp,Bengaluru,Healthtech,Online doctor consultation app,115209.81,Early Stage,2020
Phable,Bengaluru,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app",12127.35,Other Stages,2020
Generic Aadhaar,Thane,Pharma,It provides a platform for entrepreneurs to access generic  medicine at low cost,36382.05,Early Stage,2020
Nium,Mumbai,Fintech,Open global money platform,36382.05,Other Stages,2020
Mintoak,Mumbai,Fintech,Merchant payment solutions startup,24254.7,Other Stages,2020
VestSpace,Pune,Spacetech,It builds small satellite paltforms,121273.48,Early Stage,2020
